date,price_GWh,demand_gwh,net_grid_demand_gwh,generation_gwh_y
2013-08,0.05886,3581.905,3581.490848,0.41415206399999993
2013-09,0.05906,3408.327,3407.5964182320004,0.730581768
2013-10,0.033530000000000004,3340.851,3339.808542,1.042458173
2013-11,0.03588,3245.191,3243.834079,1.356920928
2013-12,0.047369999999999995,3204.698,3203.011815,1.6861849219999998
2014-01,0.062240000000000004,3223.176,3221.296364,1.8796357719999999
2014-02,0.12046,3026.522,3024.736003,1.785997052
2014-03,0.12182,3238.699,3236.982541,1.716458759
2014-04,0.09643,3160.618,3159.65993,0.9580703759999999
2014-05,0.06178,3461.354,3460.448695,0.9053045505999999
2014-06,0.05181,3462.707,3462.059324,0.647675538
2014-07,0.0586,3765.319,3764.393957,0.9250431123999999
2014-08,0.06953,3733.518,3732.094668,1.423331681
2014-09,0.05732,3432.844,3430.819995,2.024005381
2014-10,0.06809,3462.069,3458.8500310422814,3.2189689577185003
2014-11,0.07383,3326.752,3322.6534809516697,4.098519048329999
2014-12,0.08471,3308.481,3304.3035991564802,4.177400844
2015-01,0.10037,3318.979,3313.707795,5.271205176
2015-02,0.09371,3053.446,3049.241331169386,4.204668831
2015-03,0.08228,3325.737,3322.2382929552837,3.4987070447164994
2015-04,0.08378,3221.613,3219.368605,2.2443950926800005
2015-05,0.05144,3520.935,3519.033617948472,1.9013820515280002
2015-06,0.048659999999999995,3597.753,3596.352129,1.4008708534200003
2015-07,0.05263,3823.943,3822.1657449202253,1.7772550797750002
2015-08,0.053950000000000005,3787.99,3785.5014800042677,2.4885199957319997
2015-09,0.05797,3541.191,3537.1935954002097,3.9974045997900003
2015-10,0.05924,3459.358,3453.558055,5.799945010230001
2015-11,0.06821,3344.092,3337.302512,6.789487897
2015-12,0.07342,3349.053,3340.862278199475,8.190721800524999
2016-01,0.07078,3244.064,3236.699486,7.364514043030001
2016-02,0.06762,3143.102,3135.6260429235167,7.475957076483001
2016-03,0.06023,3339.252,3333.276467574655,5.9755324253449995
2016-04,0.06713,3188.037,3183.521448,4.5155515906499994
2016-05,0.05775,3441.136,3438.4670021604534,2.66899784
2016-06,0.05657,3519.591,3517.4144660286747,2.176533971
2016-07,0.05903,3735.552,3732.727530253328,2.8244697466719995
2016-08,0.053270000000000005,3830.303,3826.243842578372,4.059157422
2016-09,0.05146,3460.877,3455.654959,5.222041110389999
2016-10,0.04718,3350.668,3342.442403826605,8.225596173
2016-11,0.044950000000000004,3228.169,3219.455509,8.713490665
2016-12,0.0416,3266.511,3255.631711,10.879288676309999
2017-01,0.048369999999999996,3255.406,3244.423631976064,10.98236802
2017-02,0.04993,3068.127,3059.352038998956,8.774961001
2017-03,0.051,3322.395,3314.786216999449,7.608783000550999
2017-04,0.04337,3195.343,3190.5690344026298,4.773965597
2017-05,0.06612,3614.43,3610.3301053418168,4.099894658
2017-06,0.11575,3600.271,3597.0419565064153,3.229043494
2017-07,0.14242,3835.736,3832.228481780535,3.5075182194649996
2017-08,0.08516,3742.608,3737.5987528754645,5.009247124535501
2017-09,0.056280000000000004,3464.129,3457.311734,6.8172662085899995
2017-10,0.05654,3388.688,3378.132569330601,10.55543067
2017-11,0.09894,3340.395,3327.107973,13.287026970630002
2017-12,0.12418000000000001,3342.395,3325.978136860328,16.41686314
2018-01,0.12039,3300.396,3287.040939,13.355061461749997
2018-02,0.06624,2988.547,2977.3274855898962,11.219514410104003
2018-03,0.061689999999999995,3248.978,3238.922960198005,10.055039801995001
2018-04,0.06019,3278.205,3271.281367,6.923633471
2018-05,0.05843,3601.134,3596.2356186212137,4.8983813787865005
2018-06,0.09912,3715.167,3711.253698,3.913301888
2018-07,0.07716,3833.062,3828.6334011761437,4.428598824
2018-08,0.08359,3791.038,3784.5180415105397,6.5199584894605005
2018-09,0.08841,3509.119,3498.4882415462503,10.630758453750001
2018-10,0.29667,3464.87,3450.477517876348,14.39248212
2018-11,0.18203,3251.854,3236.296574,15.55742618
2018-12,0.10715000000000001,3190.955,3173.7787153731288,17.176284626871002
2019-01,0.13112000000000001,3363.815,3342.06514,21.74986044
2019-02,0.16369999999999998,3128.506,3110.872680933028,17.633319066972003
2019-03,0.17812,3362.934,3349.9542506881144,12.979749311886001
2019-04,0.10870999999999999,3286.328,3276.495746,9.832254162
2019-05,0.10922,3527.979,3520.7970944410145,7.181905559
2019-06,0.10695,3644.598,3639.2914509470697,5.3065490529299995
2019-07,0.10926000000000001,3793.271,3787.992615,5.2783854125800005
2019-08,0.12965000000000002,3882.795,3873.618548789265,9.176451211
2019-09,0.1243,3555.084,3542.525477920155,12.55852208
2019-10,0.12552,3516.429,3498.353475,18.07552487
2019-11,0.10732,3290.908,3269.529475,21.37852455
2019-12,0.03349,3348.963,3326.1475269838647,22.815473016135495
2020-01,0.08769,3392.296,3366.595876,25.700123644600005
2020-02,0.06685,3212.346,3191.421985,20.924015164700002
2020-03,0.06509,3296.679,3279.467727223346,17.211272776654003
2020-04,0.046020000000000005,2834.598,2821.834322,12.763678031999998
2020-05,0.12678,3508.203,3499.80959,8.393410014
2020-06,0.16,3601.587,3595.562321,6.024678656
2020-07,0.14867,3885.162,3877.471736640834,7.690263359166002
2020-08,0.11461,3746.627,3735.0450901596964,11.581909840303501
2020-09,0.13465,3557.671,3540.858658,16.81234215
2020-10,0.12211,3524.138,3503.679144592261,20.45885541
2020-11,0.09676,3282.677,3260.310097893875,22.366902106124996
2020-12,0.11414,3319.776,3290.0282018633757,29.747798136623995
2021-01,0.13609000000000002,3251.758,3219.3474090152945,32.41059098
2021-02,0.24341,3065.085,3038.137749238212,26.947250761788005
2021-03,0.25205,3367.803,3346.6249046264097,21.178095373590004
2021-04,0.27017,3271.144,3256.0321436208246,15.111856379175002
2021-05,0.29220999999999997,3613.144,3602.3097946650746,10.83420533
2021-06,0.25981,3620.248,3612.8912710713253,7.356728929
2021-07,0.18217,3911.043,3901.093595900832,9.949404099168001
2021-08,0.116,3735.518,3721.905844,13.61215583
2021-09,0.08835,3500.675,3479.940497,20.73450277
2021-10,0.06662,3417.332,3389.043082,28.28891801
2021-11,0.0852,3283.579,3249.651796342135,33.92720365786499
2021-12,0.05782,3250.744,3215.5040082969454,35.239991703055004
2022-01,0.15775999999999998,3309.088,3263.044318159933,46.043681840066995
2022-02,0.1426,2994.316,2967.690363593918,26.625636406082002
2022-03,0.19802,3322.279,3290.214798021055,32.06420197894501
2022-04,0.20034,3193.306,3170.948075,22.35792473
2022-05,0.21714,3506.596,3491.751116076646,14.84488392
2022-06,0.16563999999999998,3626.541,3616.485146,10.05585444
2022-07,0.10226,3867.454,3856.176799219212,11.27720078
2022-08,0.045149999999999996,3819.744,3801.495852,18.248147880839998
2022-09,0.05486,3555.607,3529.502465,26.10453504
2022-10,0.07423,3525.041,3485.551811640588,39.489188359412495
2022-11,0.03918,3235.236,3189.531076497615,45.70492350238501
2022-12,0.0166,3235.09,3181.507415501269,53.582584498730995
2023-01,0.11601,3269.629,3219.076788830119,50.55221117
2023-02,0.14921,2987.939,2947.3114478414077,40.627552158591996
2023-03,0.14854,3262.319,3221.694345923815,40.624654076184996
2023-04,0.09058,3181.89,3156.8474828448598,25.04251716
2023-05,0.06387,3560.963,3545.1296470881844,15.833352911816002
2023-06,0.08627,3637.72,3622.665399,15.054600960180002
2023-07,0.11513,3827.678,3808.605358385517,19.07264161
2023-08,0.14186,3993.595,3965.4973036080073,28.097696391992496
2023-09,0.12032,3491.753,3457.1933644190003,34.55963558
2023-10,0.12154000000000001,3469.892,3414.2029771958946,55.68902280410501
2023-11,0.14238,3276.31,3208.177511,68.13248872
2023-12,0.17746,3335.208,3261.839020057771,73.36897994222899
2024-01,0.19440000000000002,3381.988,3295.034928,86.95307241318001
2024-02,0.15289,3225.503,3152.0979057948407,73.40509420515949
2024-03,0.22063,3393.597,3333.9327372029506,59.6642628
2024-04,0.22453,3324.081,3286.359871,37.721129379839994
2024-05,0.30216000000000004,3795.879,3764.606600121092,31.27239988
2024-06,0.26377999999999996,3581.222,3561.0472349751203,20.17476502
2024-07,0.36755,3918.073,3891.447805576213,26.625194423786997
2024-08,0.46811,3753.759,3716.2223183449655,37.536681655034506
2024-09,0.07637,3374.047,3318.382738,55.66426186
2024-10,0.05604,3352.731,3282.9341569117164,69.79684309
2024-11,0.03053,3241.362,3146.148673,95.21332709939999
2024-12,0.030350000000000002,3288.483,3168.3954063959695,120.0875936040305
2025-01,0.11703,3198.049,3085.569208475068,112.47979152493203
2025-02,0.26583,3056.595,2957.6541267690236,98.94087323
2025-03,0.29068,3293.264,3199.6900999468603,93.57390005313998
2025-04,0.32608,3210.584,3159.6607376274196,50.92326237257999
2025-05,0.20488,3557.976,3515.095140028709,42.880859971290995
2025-06,0.12498000000000001,3620.103,3589.1617301280003,30.941269871999992
2025-07,0.10509,3895.739,3857.3619657871905,38.37703421280949
2025-08,0.17711000000000002,3962.031,3893.021103618618,69.00989638
2025-09,0.11494,3593.85,3500.412641,93.43735927844999
2025-10,0.030379999999999997,3526.649,3401.961900207949,124.68709979205104
2025-11,0.06326,3374.963,3214.8664371364102,160.0965629
