,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh,Price ($/MWh),price_GWh,pricespike,pricevolatility,pricesmooth
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,47.37,0.047369999999999995,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,62.24,0.062240000000000004,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,120.46,0.12046,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,121.82,0.12182,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,96.43,0.09643,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,61.78,0.06178,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,51.81,0.05181,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,58.6,0.0586,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,69.53,0.06953,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,57.32,0.05732,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,68.09,0.06809,False,,
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.9958,0.29149166666666665,2.025563932,73.83,0.07382999999999999,False,0.3090420709239291,0.07410666666666667
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,84.71,0.08471,False,0.28512141772650224,0.07721833333333333
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,100.37,0.10037,False,0.2915550712839623,0.08039583333333333
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,93.71,0.09370999999999999,False,0.2645361703381221,0.07816666666666666
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,82.28,0.08228,False,0.22096714184445107,0.07487166666666666
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,83.78,0.08378000000000001,False,0.20841168626766945,0.0738175
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,51.44,0.05144,False,0.22693632098268768,0.07295583333333333
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,48.66,0.048659999999999995,False,0.23551107281384354,0.07269333333333333
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,52.63,0.05263,False,0.2452560250293965,0.07219583333333333
