date,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh
2013-08,5.76,8,2013,Winter,,,,5.76,2.3194,0.096641667,0.41415206399999993
2013-09,6.574,9,2013,Spring,0.8140000000000001,,,6.574,3.7044,0.15435000000000001,0.730581768
2013-10,7.123,10,2013,Spring,0.5490000000000004,,,7.123,4.721,0.19670833333333335,1.042458173
2013-11,8.006,11,2013,Spring,0.883,,,8.006,5.6496,0.23540000000000003,1.356920928
2013-12,8.62,12,2013,Summer,0.614,,,8.62,6.3101,0.2629208333333333,1.6861849219999998
2014-01,9.34,1,2014,Summer,0.7200000000000006,,,9.34,6.4918,0.27049166666666663,1.8796357719999999
2014-02,10.333,2,2014,Summer,0.9930000000000003,,,10.333,6.173,0.2572083333333333,1.785997052
2014-03,11.487,3,2014,Autumn,1.154,,,11.487,4.8202,0.20084166666666667,1.716458759
2014-04,12.338,4,2014,Autumn,0.8509999999999991,,,12.338,2.5884,0.10785,0.9580703759999999
2014-05,13.213,5,2014,Autumn,0.875,,,13.213,2.2102,0.092091667,0.9053045505999999
2014-06,14.306,6,2014,Winter,1.093,,,14.306,1.5091,0.062879167,0.647675538
2014-07,15.466,7,2014,Winter,1.1600000000000001,,,15.466,1.9294,0.080391667,0.9250431123999999
2014-08,16.588,8,2014,Winter,1.1220000000000017,,,16.588,2.7679,0.11532916666666666,1.423331681
2014-09,17.642,9,2014,Spring,1.0539999999999985,0.00407,0.00407,17.63793,3.8251,0.15937916666666666,2.024005381
2014-10,19.14,10,2014,Spring,1.498000000000001,0.002745,0.006815,19.133185,5.4271,0.2261291666666667,3.2189689577185003
2014-11,20.887,11,2014,Spring,1.7469999999999999,0.004415,0.011230000000000004,20.87577,6.5443,0.27267916666666664,4.098519048329999
2014-12,22.085,12,2014,Summer,1.1980000000000004,0.00307,0.014299999999999998,22.070700000000002,6.1056,0.2544,4.177400844
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036,0.017900000000000003,23.1141,7.3565,0.3065208333333333,5.271205176
2015-02,24.141,2,2015,Summer,1.0089999999999968,0.004965,0.022865000000000003,24.118135,6.2263,0.25942916666666666,4.204668831
2015-03,25.226,3,2015,Autumn,1.0850000000000009,0.00577,0.028635000000000004,25.197364999999998,4.4791,0.18662916666666665,3.4987070447164994
2015-04,26.195,4,2015,Autumn,0.9690000000000012,0.004255,0.03289,26.162110000000002,2.8596,0.11914999999999999,2.2443950926800005
2015-05,27.167,5,2015,Autumn,0.9720000000000013,0.004375,0.037265000000000006,27.129735,2.2608,0.0942,1.9013820515280002
2015-06,28.547,6,2015,Winter,1.379999999999999,0.005465,0.042730000000000004,28.50427,1.6382,0.068258333,1.4008708534200003
2015-07,30.104,7,2015,Winter,1.5569999999999986,0.0058,0.048530000000000004,30.05547,1.9075,0.079479167,1.7772550797750002
2015-08,31.532,8,2015,Winter,1.4280000000000008,0.00561,0.054140000000000015,31.47786,2.5502,0.10625833333333333,2.4885199957319997
2015-09,33.101,9,2015,Spring,1.568999999999999,0.00527,0.059410000000000004,33.04159,4.0327,0.16802916666666667,3.9974045997900003
2015-10,34.194,10,2015,Spring,1.0930000000000035,0.00749,0.0669,34.127100000000006,5.4823,0.22842916666666668,5.799945010230001
2015-11,35.632,11,2015,Spring,1.4379999999999953,0.008735,0.075635,35.556365,6.365,0.2652083333333333,6.789487897
2015-12,37.45,12,2015,Summer,1.818000000000005,0.00599,0.081625,37.368375,7.0706,0.2946083333333333,8.190721800524999
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235,0.08686,38.289139999999996,6.2045,0.25852083333333337,7.364514043030001
2016-02,39.957,2,2016,Summer,1.581000000000003,0.005045,0.091905,39.865095000000004,6.4666,0.26944166666666663,7.475957076483001
2016-03,41.123,3,2016,Autumn,1.1659999999999968,0.005425,0.09733,41.02567,4.6985,0.19577083333333334,5.9755324253449995
2016-04,42.366,4,2016,Autumn,1.243000000000002,0.004845,0.10217499999999999,42.263825,3.5614,0.14839166666666667,4.5155515906499994
2016-05,43.654,5,2016,Autumn,1.2880000000000038,0.00486,0.10703499999999999,43.546965,1.9771,0.082379167,2.66899784
2016-06,45.079,6,2016,Winter,1.4249999999999972,0.0069,0.11393499999999998,44.965065,1.6135,0.067229167,2.176533971
2016-07,46.245,7,2016,Winter,1.1659999999999968,0.007785,0.12171999999999997,46.123279999999994,1.9754,0.082308333,2.8244697466719995
2016-08,47.671,8,2016,Winter,1.426000000000002,0.00714,0.12885999999999997,47.542139999999996,2.7542,0.11475833333333334,4.059157422
2016-09,49.013,9,2016,Spring,1.3419999999999987,0.007845,0.13670499999999997,48.876295,3.5614,0.14839166666666667,5.222041110389999
2016-10,50.573,10,2016,Spring,1.5600000000000023,0.005465,0.14217,50.43083,5.2615,0.21922916666666667,8.225596173
2016-11,51.934,11,2016,Spring,1.360999999999997,0.00719,0.14935999999999997,51.784639999999996,5.6088,0.2337,8.713490665
2016-12,53.282,12,2016,Summer,1.347999999999999,0.00909,0.15844999999999998,53.123549999999994,6.6062,0.2752583333333333,10.879288676309999
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.00463,0.16307999999999995,54.03092,6.5568,0.2732,10.98236802
2017-02,55.266,2,2017,Summer,1.0719999999999956,0.007905,0.17098499999999997,55.095015,5.6882,0.23700833333333335,8.774961001
2017-03,56.645,3,2017,Autumn,1.3790000000000049,0.00583,0.17681499999999994,56.468185000000005,4.3466,0.18110833333333332,7.608783000550999
2017-04,57.825,4,2017,Autumn,1.1799999999999997,0.006215,0.18302999999999994,57.64197,2.7607,0.11502916666666667,4.773965597
2017-05,59.019,5,2017,Autumn,1.1939999999999955,0.00644,0.18946999999999997,58.82953,2.2481,0.093670833,4.099894658
2017-06,60.942,6,2017,Winter,1.9230000000000018,0.007125,0.19659499999999996,60.745405,1.7719,0.073829167,3.229043494
2017-07,62.638,7,2017,Winter,1.695999999999998,0.00583,0.20242499999999994,62.435575,1.8122,0.075508333,3.5075182194649996
2017-08,64.411,8,2017,Winter,1.7730000000000032,0.00713,0.20955499999999994,64.201445,2.5169,0.10487083333333334,5.009247124535501
2017-09,65.897,9,2017,Spring,1.4860000000000042,0.00671,0.21626499999999993,65.680735,3.4598,0.14415833333333333,6.8172662085899995
2017-10,67.604,10,2017,Spring,1.7069999999999936,0.0078,0.22406499999999993,67.379935,5.0534,0.21055833333333332,10.55543067
